# filename,	obj_val,	q_nonnegativity,	marginals_1,	marginals_2,	marginals_Inf,	mu_nonneg_viol,	complementarity_max,	complementarity_sum
../PDFs/RDNUNQXOR-0.0-2048.dens,	-6.858568803981565098482064968266058713197708129882812500000000000000000000000000e-01,	-2.262244832268165249866506523265214192476568744183396120206452906131744384765625e-12,	7.513669840360294571146608104788276218111153781364919268526136875152587890625000e-15,	1.155764022532954281874162676928939046212473794262352113594931866195632147109921e-15,	4.978656376053436360962223261594772338867187500000000000000000000000000000000000e-16,	6.884688146993795043587151107060448887952958712838020894959208062820819130013413e-11,	3.383670511451793935761098180622904031222873778713928791475465585182622591202135e-13,	1.453558946216865981028441895260416322464210624990416258024177193156985001461276e-12
# filename,	obj_val,	q_nonnegativity,	marginals_1,	marginals_2,	marginals_Inf,	mu_nonneg_viol,	complementarity_max,	complementarity_sum
../PDFs/RDNUNQXOR-0.0-128.dens,	-5.257870160922067936937196463986765593290328979492187500000000000000000000000000e-01,	-9.517393941514388646934590626669997536022510553621600593032781034708023071289062e-13,	7.721941253609695051062143810218935124651401524786820118606556206941604614257812e-12,	9.847415008852026276671943346525793299515181289695711020655755924596762526337931e-13,	1.282288077802951065109482442494481801986694335937500000000000000000000000000000e-13,	1.260946821020213612042859846581644936164056164641959610536458786515228177278078e-08,	1.358778883483375768949239775250467955726212051208242477816038318893239186186861e-11,	9.407583096615742679280256596310017914372275844959449676293839849893841395362932e-11
# filename,	status,	obj_val,	q_nonnegativity,	marginals_1,	marginals_2,	marginals_Inf,	mu_nonneg_viol,	complementarity_max,	complementarity_sum
../PDFs/AND-0.0-0.dens,	Optimal,	-3.465735901157880327616567228687927126884460449218750000000000000000000000000000e-01,	-9.542932976485023669088051995103988422997076668252702802419662475585937500000000e-10,	2.295759912401933306477654791436134040782945930914138443768024444580078125000000e-09,	9.836835292625515404372911254783617604887788008856756221179257586505332147427528e-10,	5.021974621312658376690058958870428729159840486317989416420459747314453125000000e-10,	1.519188014044639073411798751620122060951806263118366699649187922894696203644557e-09,	3.797970038381308947557251901358579388148813876104103472431295876577404691199176e-10,	1.363636257313053447799918210855198213275104989733873975734453036854607655021273e-09
# filename,	status,	obj_val,	q_nonnegativity,	marginals_1,	marginals_2,	marginals_Inf,	mu_nonneg_viol,	complementarity_max,	complementarity_sum
../PDFs/XOR-0.0-0.dens,	Optimal,	-6.931471883803692612957547680707648396492004394531250000000000000000000000000000e-01,	-1.250000014103107015550619962596101686358451843261718750000000000000000000000000e-01,	2.256497377839394857801380567252635955810546875000000000000000000000000000000000e-08,	7.977922987999496259267088877289566254166298462038273236445616600580019726270133e-09,	2.820621736177031380066182464361190795898437500000000000000000000000000000000000e-09,	4.421541925808521110602743304707026223629847613634589322670896817477990522751036e-10,	5.526927469618145068367733136634124243009818185556577508436614367743884125726491e-11,	4.421541250290873612125355786625976955540983257651546984573974488985099134520385e-10
